,organizer,call_duration_mins,participants,interaction
830,Charles Hill,74,"['Keith Wolfe,Brendan Brewer']",Low
831,Jeffery Gomez,125,"['Dakota Ramirez,Dr. Jamie Gregory Jr.,Michelle Cortez,Brianna Jones,Sydney Mays,Louis Smith,Richard Fields,Nicole Kirby,Natalie Jones']",Low
832,Edwin Bradley,29,"['Kim Cooper,Janet Bennett,Susan Duran,Justin Hall,Amanda Lewis,Tony Carr,Jeremiah Gonzalez,Patricia Pope,Ryan Nguyen,Ricardo Banks']",Low
833,Madison Welch,26,"['Travis Buckley,Gloria Campbell,Jamie Erickson,John Lopez,Sydney Erickson,Ricky Hopkins']",High
834,Theresa Ochoa,100,"['Mark Pineda,Terry Evans,David Peterson']",Low
835,Donna Barton,63,"['Donald Bernard,Joseph Crosby,Michael Pierce,Rodney Holt,Joseph Thompson,Laura Scott,Denise Howell,Lisa Cox,Travis Jones']",Medium
836,Gregory Barker,105,"['Sheena Kaiser,Gina Moreno,James Sawyer,Lauren Tran,Richard Barrett']",High
837,Bryan Lewis,60,"['Joshua Michael,Teresa Brown,Christopher Barron']",Medium
838,Alexander Rodriguez,180,"['Cynthia Molina,Courtney Nichols,Michael Stewart,Lindsey Jones,Andrew Reyes,Jesse Duran,Kayla Ramos,Hannah Harris,Cheryl Hall,Jesus Franklin']",Low
839,Roy Campbell,178,"['Kimberly Kline,Karen Russell,Ralph Miller,Thomas Evans,Sean Harper,Shannon Robinson']",High
840,Lisa Hanson,33,"['Sandra Davidson,John Bryant']",High
841,Cathy Lee,172,"['Kirk Morgan,Mr. Brandon Romero,Dennis White,Jared Smith,Tiffany Vargas,Melissa Marshall,Dennis Maddox']",High
842,Lisa Lucero,101,"['Tina Deleon,Melissa Maxwell,Wanda Briggs']",Medium
843,Erica Newman,12,"['Philip Guzman,Brent Pitts,Curtis Mcdaniel,Nicholas Carter,Christina Glass,Elizabeth Cooper,Angela James,Deanna Foster,Monique Kidd']",Medium
844,Lindsay Villanueva,42,"['Hannah Stewart,Dustin Mata,Amanda Lucas,Deborah Harris,Keith Baker']",Low
845,Erin Lyons,94,"['Jesse Byrd,Rhonda Baker,Linda Avila,Kenneth Finley']",Medium
846,Melissa Shah,155,"['Melissa White,Benjamin Andrade,Amanda Ashley,Jill Gonzalez,Jason Kelley,Mallory Garza']",Low
847,Herbert Andrade,44,"['Hunter Lowe,Jonathan Tyler DDS,Melanie Perry,Julie Barker,Shawn Monroe,James Hansen']",High
848,Mary Sanchez,102,"['Johnny Mccoy,Crystal Montgomery,Benjamin Evans MD,William Ward,Sean Brock,Dr. Julia Mendoza']",Medium
849,Melissa Norton,111,"['Shelia Campbell,Kaitlyn Rodriguez,Sylvia Vaughn,Michael Cook,Patrick Burke,Maria Edwards,James Rowe,Christopher Moran,Mark Saunders,Debbie Gonzalez']",Low
850,Shawn White,89,"['Kyle Phelps,Rebecca Gutierrez,David Ramirez,Pamela Wade,Dr. Michele Fisher MD,Jason Higgins,Jessica Vasquez,James Erickson']",Medium
851,Laura Simpson,134,"['Ashley Bailey,Crystal Matthews']",High
852,Jeffrey Parrish,69,"['Daniel Weaver,Pamela Williams,Sean Macdonald,Janet Martinez,Jill Evans,Carlos Stewart,Tracy Young,Cory Hill,Bethany Sutton']",Low
853,Jared Parker,107,"['Taylor Bailey,Brandon Payne,Daniel Barr,Michael Bender,Michelle Wright,Valerie Chen,Katherine Hayes,Ashley Bruce']",Low
854,Carolyn Jenkins,175,"['Rachel Montgomery,Victoria Guerra,Anthony Galvan,Lisa Hernandez,Jon Galloway DDS,Brian Martin,Jade Ortiz']",High
855,Sherry Shah,60,"['Timothy Smith,John Gonzalez']",High
856,Andrew Olson,147,"['Michael Moreno,Mary Wilson,Carrie Stone,Melissa Montgomery,Gregory Salas,Courtney Lewis,Tina Bentley,Darlene Arroyo,Ashley Rivera,Crystal Lucas']",Medium
857,Donna Martinez,126,"['Mark Salinas,Melinda Hill,Kevin Taylor,Jaclyn Thompson,Karen Nunez,Jean Rogers,Jenny Collins,Diana Gomez,Rhonda Colon,Connor Stephens']",Medium
858,Timothy Lewis,105,"['Joseph Morales,Ashley Payne,Judith Williams,Annette Hawkins,Christopher Williams,Joseph Harris,Robert Gonzalez,Brian Rivera,Keith Torres']",Medium
859,Christine Reynolds,114,"['Stacy Vasquez,Danielle Hoffman,Maria Hansen,Bradley Ewing,Robert Walker']",High
860,Dr. Mitchell Saunders,48,"['Michael Rojas,Cindy Cannon,Christine Hopkins']",Medium
861,Margaret Chavez,150,"['Traci Martin,Eddie Kelly,Joseph Bright,Jim Walton']",Low
862,Alexander Callahan,82,"['Willie Matthews,Laurie Blair']",Low
863,Heather Salas,179,"['John Evans,Michael Greer']",Low
864,James Jenkins DDS,136,"['Martin Torres,Keith Frank,Dr. Crystal Thomas,Helen Hendricks,Roberto Gilbert,Paul Berry,Kristin Moore,Kimberly Myers,Gordon Howell,Jeffrey Villegas']",Medium
865,Jeremy Andrews,156,"['Michael Parker,Brian Rubio,Barry Smith']",Medium
866,George Nelson,143,"['Bridget Buchanan,Darren Nolan,Michelle Owens,Michael Patel,Kim Robertson,Melissa Smith,Diane Ward,Ryan Hunt,Jason Finley,Jamie Wiley']",Medium
867,Gloria Sampson,180,"['Brian Saunders,Troy Burton,Laura Baker,Timothy Wilson,Rodney Curtis,Michael Jones']",High
868,Angela Doyle,121,"['Courtney Marsh,Clarence Carr,Rebecca Ford,Ralph Wood,Sarah Fitzgerald,Daniel Tran,Jeffrey Garza,Ryan Newman,Mark Welch,Timothy Wilson']",Low
869,Lisa Rosario,85,"['Renee Johnson,Roger Bauer,Sandra Phillips,Ashley Jones,Tyler Hancock,Melissa Montgomery,Robert Williams,Sean Gentry,Christopher Gay,Amber Lewis']",Low
870,Matthew Torres,170,"['John Melton,Kevin Keller,Wesley Gallagher,Marvin Kelly,Dawn Hubbard,Brandon Norton,Glenn Riggs,Heidi Stephenson']",Low
871,Margaret Fuller,140,"['Jennifer Morgan,Cynthia Andrews,Jessica Morgan,Bryan Shah,Michael Ross']",High
872,Kimberly Evans DDS,118,"['Cynthia Wood,Alexander Byrd,Jacqueline Jennings,Kyle Martinez,Crystal Lopez,Jennifer Stephens']",Medium
873,Stephen Baker,116,"['Danielle Santiago,Renee Wright,Chloe Lyons,Misty Goodman,Sharon Hayes,Michelle Bell']",High
874,William Hardy,117,"['Justin Jensen,Dan Strong,Dominic Sanchez,Jodi Arellano,Amanda George']",Low
875,Nancy Morris,40,"['Amanda Guzman,Claire Moore,Lisa Long,Gregory Kelly,Glenn Sims,Jasmine Macdonald,Jessica Pena,Karen Adams,Sean Figueroa']",Medium
876,Stanley Phillips,109,"['Elizabeth Church,Valerie Harrison']",High
877,Dr. Larry Hill,64,"['Nicole Graham DDS,Nicole Boyd,Lori Williams,Ashley Klein,Stephen Swanson,Samantha Morris,Thomas Jordan']",Low
878,Johnny Price,99,"['Ricky Rogers,Katherine Lee,Teresa Bell,Keith Adkins,Dorothy Hall,Matthew Fields,Carolyn Davis,Steven Smith,Sabrina Russell']",Low
879,Kayla Gallagher,89,"['Manuel Lopez,Brian Scott,Kellie Allen,Andrea Valenzuela,Willie Dunn']",Low
880,William Hayes,69,"['Ronald Ballard,Melissa Simmons,Julie Olson,Derrick Atkins,Christopher Gomez,Leslie Parker']",High
881,Stacy Coleman,54,"['Robert Miller,Joe Perry,Max Bailey,Richard Meadows,Francisco Marshall']",Medium
882,Caitlin Guerrero MD,74,"['Mary Hernandez,Rodney Gomez,Shannon Cox,Brittany Nash,Misty Price,Adrian Randall']",High
883,Penny Berry,137,"['Derek Hansen,Dawn Anderson,James Pugh,Nathan Barnes,Keith Quinn,Ashley Wang']",High
884,Kimberly Garcia,72,"['Ryan Smith,Linda Thomas,Gilbert Martinez,Heather Carrillo,Eddie Andersen,Mark Anderson']",Medium
885,Billy Krueger,23,"['Kayla Wu,Gary Cardenas,Samantha Clark,Ronald Garcia,Cassidy Cruz,Danielle Sanchez']",Low
886,Kristin Smith,7,"['Meghan Garrett,Penny Reynolds,Stephanie Roman,Virginia Smith']",High
887,Melissa Espinoza,79,"['Samantha Santiago,Jeremy Young,Mr. Alejandro Holt,Roger Gates,Cheyenne Rivera,Jason Huffman,Rodney Phillips,Michael Koch,Michelle Petty,Leslie Fernandez']",High
888,Michael Turner,39,"['James Bryant,Kimberly Knight,Richard Lee']",High
889,Jacob Reed,41,"['Ashley Browning,Deborah Flynn']",Medium
890,Joseph Calderon,8,"['Alison Nunez,Suzanne Potts,David Hanna,Michael Lewis,Brittany Phillips,Anna Osborn']",High
891,Alicia Pena,35,"['Margaret Chapman,Eric Torres']",Low
892,Benjamin Gibbs,105,"['Michelle Thomas,Holly Gibson,Marie Johnston']",Medium
893,Yolanda Moody,9,"['Casey Wu,Timothy Martinez,Patricia Jones,David Martinez,Toni Morris,George Ayala,Emily Pham,Cheryl Grimes,Jennifer Patterson']",High
894,Jamie Chavez,144,"['Amanda Shaw,Adam Hernandez,Dana Rios,Phillip Wilson']",Low
895,Paul Chang,172,"['Grace Spencer,Stephanie Blair,Sheri Thompson,Gary Munoz,Joshua Martin,Maria Perry,Jacob Sparks']",High
896,Andrew Diaz,22,"['Nicole Goodman,Sharon Martin,Kayla Stout,Susan Harrison,Miss Leah Fuentes MD']",Low
897,Edward Padilla,177,"['Michelle Henson,Tyler Shepherd,Robert Green,John Jackson,Christian Miller']",Medium
898,Robert Parker,175,"['Keith Chambers,David Pierce,Maxwell Reynolds']",Medium
899,Steven Franklin,133,"['Sharon Santiago,Tammy Hall,Sandra Hines,Tara Brown,Michael Boyer,Valerie Huynh']",High
900,Nicholas Murphy,71,"['Lisa Harrison,Cheryl Allen,Paul Conway,Jose Watts,Gregory Mitchell,William Morris']",High
901,Catherine Lewis,77,"['Jasmine Krueger,Mr. Dylan Johnson,Nicholas Porter,Amy Miller,Oscar Cobb,Kristin Roach,Timothy Spencer,Kevin Davis,Kimberly Watts']",Low
902,Elizabeth Williams,5,"['Wesley Gordon,Brendan Khan']",Medium
903,Ms. Cynthia Richardson,116,"['Joshua Campbell,Kristen Duffy,Steven Burton']",Low
904,Elizabeth Macdonald,53,"['Stephanie Ford,Charles Wright']",Medium
905,Jacqueline Brown,105,"['Mary Campbell,Todd Fields,Gloria Bowman,Robert Henry']",Medium
906,Erica Miller,90,"['Lauren Smith,Mrs. Brianna Carey MD,Gabrielle Moreno']",Low
907,Mr. Steven Warren,26,"['Michael Bishop,Misty Andrews,Richard Christian,Shelly Pena,Christian Archer']",Low
908,Jacob Sanchez,159,"['John Bonilla,Rachel Tran,Anita Martinez,Denise Wilkins,Dr. Alicia Hickman,Kyle Diaz']",High
909,Timothy Clements,139,"['Edward Little,Tracy Robertson,Sabrina Parks DDS,Brandon Travis,Mary Brown,Lisa Chapman,Kristopher Young,Gabriel Meadows,Allen Russell']",Medium
910,Daniel Preston,22,"['Ashley Parker,Rebecca Brown,Spencer Allen,Kenneth Franklin']",High
911,Albert Gutierrez,178,"['Michael Schneider,Julie Adams,Bianca Henson,Leah Lopez,Ryan Sanchez,David Thompson,Alicia Brown,Jose Gardner,Andrew Dunlap']",Low
912,Christian Kerr,43,"['Michael Collier,Darren Adkins']",Medium
913,Stephanie Miller,37,"['Scott Wang,Todd Graves,Veronica Waters,Miguel Leonard,William Payne,Melissa Torres,Grace Hart,Kyle Stewart,Stephen Dudley DDS']",High
914,Kevin Henderson,116,"['Nathan Lopez,James Peters,Andrew Mcgee,Phillip Greene,Matthew Franklin,Kristen Stewart,Edward Chase,Nancy Hill,Danielle Bryant,James Myers']",Medium
915,Brooke Wright,15,"['Charles Rodriguez,Christie Collins,Colleen Martinez']",High
916,Bethany Campos,140,"['Kenneth Romero,Robert Zimmerman,Daniel Goodwin,Ryan Lowery,Calvin Lawrence']",Medium
917,David Frost,56,"['Rita Robbins,David Sanchez,Ashley Burton,Kirk Rivera,Brett Walsh']",High
918,Seth Kelley,139,"['Kathryn Davis,Mrs. Carol Tran,Mackenzie Davis,Nicholas Jackson,David Hall,Scott Finley,Kimberly Smith,Troy Frazier,Carol Mercer']",High
919,David Martinez,89,"['Katie Hunter,John Velez,Jason Juarez,Adrian Wright']",Medium
920,Adam Ross,138,"['Sandra Carter,Paula Moore,Melody Torres,Nicole Scott,Patrick Higgins,Diane Jacobs DDS,Lucas Morris,Lisa Wilkerson,Ashley Nguyen']",Medium
921,Angela Lane,141,"['Samantha Harrington,Bruce Anderson,Amanda Ramirez,Sarah Hill,Robyn Blake,Alison Larson,Lindsey Hanson,Travis Hutchinson,Betty West']",High
922,Nicole Reynolds,74,"['Stephanie Boyer,Stephanie Stein,Christopher Campbell,Victoria Rogers,Morgan Grant,Anthony Allen,Thomas Moore,Laura Williams,Mrs. Debra Gilbert,Shelly Craig']",Low
923,Samantha Parker,81,"['Valerie Vargas,Charles Moore,Stephen Jackson,Robert Taylor,Jacqueline Escobar,Ian Hill,Joshua Cooper,Patricia Roy,Lynn Ali']",Low
924,Dawn Lloyd,45,"['Katherine Moore,Rodney Carr,Jessica Salas,David Caldwell']",Low
925,Deborah Rogers,122,"['Jonathan Lee,Katherine Johnston,Briana Carr,Michele Stewart']",Low
926,Amy Anthony,179,"['Patricia Powell,Joshua Tran,Rachel Rice,Jessica Levy,Andrew Morris,Sean Davis,Robert Hamilton,Debra Boone']",High
927,Sharon Rogers,56,"['George Yu,Joseph Lopez,Brian Bryant,Jacqueline Carroll,Veronica Hernandez,Stephen Kennedy MD,Robert Hernandez,Eric Owen,Joshua Lewis']",High
928,Barbara Crane,48,"['Amber Moore,William Obrien,Joshua Cooley']",Low
929,Jessica Howard,47,"['John White,Kerry Burns,Kim Soto']",Medium
930,Alexander Hawkins,143,"['Charles Martinez,Michelle Mullins,Tiffany Murphy,Lance Burke,Laura Gates,Kevin Mills,Austin Pope,Christie Warner,Ronald Chapman,Deborah Dunn']",Low
931,Kimberly Hood,131,"['Victor Wall,Heather Gray,Martha Gentry,Stephanie James,Laurie Pitts']",High
932,Mr. Dennis Logan II,158,"['Sean Lee,John Pope,Stacy Hill,Amanda Reid,Erika Reeves,Reginald Anderson,Brooke Bell']",Low
933,Megan Wilson,129,"['Nicole Ayers,Joshua Douglas,Jeremy Edwards,Brooke Gonzalez,Stanley Washington,Kevin Hopkins DVM,Nathan Lee,Elizabeth Flores,Dawn Sosa']",Medium
934,Jennifer Davidson,120,"['Mark Carr,Mitchell Webb,Gregory Phillips,Michael Anderson,Scott Leblanc MD,Stephen Cabrera,Joseph Hall,Brenda Richards,Alexander Huff']",Medium
935,Brittany Roy,78,"['Daniel Fischer,Chad Walter,Christopher Anderson,Melissa Green,Michele Faulkner,Karen Kirk']",Medium
936,Patricia Wells,31,"['Dana Jones,Jessica Graham,Beverly Taylor,Pamela Graves,Amy Santos,Shawn Wong']",Low
937,Mason Lawrence,87,"['Meghan White,Alexandra Sloan,Micheal Knox,Morgan Allen,Christopher Koch,Wendy Peck,John Skinner,Devon Peters,Shelby Brewer,Lisa Mcgrath']",Medium
938,Shannon Cooley,131,"['Kimberly Phillips,James Holt,Duane Peterson,Margaret Alexander,Brian Ward,James Jimenez,Darlene Thornton,Brett Harris']",High
939,Alan Thompson,68,"['Angela Morris,Cheyenne Brown,Thomas Smith,Chelsea Black']",Medium
940,Chelsea Waters,22,"['Leslie James,Brandi Smith,David Wheeler,Bethany Nichols']",Low
941,Michelle Johnson,37,"['Brandon Smith,Gerald Gonzalez,Raymond Gonzalez,Jamie Barker,Thomas Walton,Valerie Fox,Marcus Kirk,Joseph Hobbs']",High
942,Scott Davis,19,"['Devin Perez,Megan Harper,Alexander Robinson,Tonya Haas,Jason Williams,Brian Smith,Dawn Torres,Karen Roman,Robert Howard']",High
943,Andrea Webster,18,"['Rebecca Watson,Lisa Lewis,Aaron Morris,Alexander Peterson,Frederick Taylor,Phillip Bryant,Christina Andrade']",Low
944,Joshua Hoffman,60,"['Alec Mcgee,Gabrielle Walker,Jaime Hernandez,Carlos Becker,Sharon Gonzalez,Tracie Johnson']",Medium
945,Laurie Martinez,20,"['Jacob Copeland,Steven Hawkins']",Medium
946,Amber Suarez,128,"['Mr. Ian Stein IV,James Miller,Anthony Young,Courtney Stewart,David Mosley,Mrs. Rebecca Key MD']",High
947,Bryan Villarreal,117,"['Steven Arnold,Lisa Bryant,Debra Luna,Devon Kelly']",Low
948,Bryan Parrish,140,"['Vickie Bryant,Lauren Aguilar,Howard Atkinson,John Anderson,Philip Cooke,Larry Martinez,Alicia Smith']",High
949,Sharon Moreno,78,"['Anthony Olson,Morgan Buchanan,Stacey Cooper,James Rodriguez,Erin Smith,Charles Jones,Cody Keith,Scott White DVM,Sherri Smith']",Low
950,Donna Bates,39,"['Robert Brown,Alexandria Phillips,Sarah Cantu,Michael Thomas,Amanda Matthews,Megan Smith,Lindsey Washington,Tracy Pena,Mitchell Snyder']",Low
951,Timothy Jimenez,176,"['Mr. Juan Perez,Tara Kelley,Olivia Dillon,Philip Kaiser']",Medium
952,Lorraine Hill,12,"['Matthew Clark,Vanessa Hampton,Jennifer Smith,Andrew Johnson,Mark Gutierrez,Andrew Miller']",Low
953,Tiffany Martin,160,"['Elizabeth Green,Alisha Newman,Susan Thomas,Melissa Jones,Kyle Berg,Heather Weber,Jessica Lutz,Brian Watson']",Medium
954,Miss Anita Foster MD,17,"['Bryan Clark,Mark Matthews']",High
955,Edward Friedman,81,"['Ricardo Wong,Bryan Snyder,Richard Kramer,Andrew Burke,Tracy Nichols,Andrea Smith,Megan Yang,Benjamin Tran']",High
956,Christopher Conway,180,"['Yvette Jackson,Jim Lopez,Julie George,Elizabeth Perez,Garrett Estrada,Ronald Wells,Shawn Osborn,Matthew Conley,Amanda Rivera,Maria Harris']",High
957,Melissa Gomez,27,"['Marie Potter,William Mitchell,Jorge Becker,Desiree Beard,John Jones,Richard Reyes']",Low
958,Michael Herrera,162,"['Monica Walker,Scott Velasquez,Mark Rosales,Debra Moreno,Joseph Ingram']",Low
959,Alexis Gray,129,"['Steven Webb,Amanda Duncan']",High
960,Kimberly Medina,43,"['Mark Adams,Cristian Durham,Leslie Thomas,Chris Cook']",Medium
961,Anthony King,83,"['Robert Hall,Patricia Deleon,Erin Arias,Morgan Garza,Philip Norton,Carlos Briggs']",Medium
962,Natalie Russell,79,"['Brandi Parker,Amanda Henry,Paul Reid,James Cisneros,Timothy Moore']",Medium
963,Joshua Allen,89,"['Mark Hampton,Brett Humphrey,Thomas Rivers,Lauren Wall']",Low
964,Sheila Reed,163,"['Ashley Wood,Steven Serrano,Angela Gallegos,Mark Carroll,Noah Cross,Jessica Bruce,Mark Johnson']",Medium
965,Rhonda Hess,9,"['Thomas Duarte,Francisco Lee,Amber Lopez,Melissa Guerra,Jerry Perez,Renee Hall,Lindsey Bridges']",High
966,Katherine Martin,107,"['Travis Lopez,Christina Brown,Jerry Foster,Brian Trujillo']",High
967,Brandy Diaz,77,"['Elijah Kennedy,Matthew Ellis,Mr. Christopher Woods,Jeremy Floyd,Mary Figueroa,Vanessa Wong,Tracey Johnson,Emily Prince,Alexandria Mitchell,Jessica Jones']",High
968,Michael Montoya,48,"['Phyllis Townsend,Carrie Meyer,William Wells,Kimberly Green DDS,Melissa Campos']",High
969,Julia Martin,18,"['Christine Rodriguez,Don Kennedy,Robert Moreno,Joseph Velez,Laura Brown,Timothy Munoz,Miss Erika Nunez']",Medium
970,Seth Wright DVM,94,"['David Vaughn,Debra Johnson,Bradley Nunez,Ryan Monroe']",Low
971,Tara Donaldson,29,"['Vanessa Bell,Megan Porter,Shelley Golden,Michael Torres,Timothy Alvarez,Michael Smith,Antonio Cannon,Sean Evans,William Hall,James Weiss']",High
972,Victoria Armstrong DDS,168,"['Dalton Stephens,Robert Ford']",Medium
973,Veronica Ford,90,"['Dale Cruz,James Mendez,Tyler Davis,Troy Howard,Albert Pennington,Robin Marshall,Dustin Lewis']",Low
974,Mercedes Davis,166,"['Timothy Schroeder,Joshua Martinez']",High
975,Frederick Moody,57,"['Jimmy Strong,Cameron Vazquez,Laura Mcknight,Samantha Johnson,Yvonne Marshall,Beverly Brown,Colton Cobb,Theresa Jones']",High
976,Anna Green,64,"['Bryan Walters,Aaron Brown,Daniel Reyes,Benjamin Chapman']",High
977,Sarah Phillips,73,"['Julie Cardenas,Nancy Miller,James Payne,Jennifer Jacobs,Mrs. Diane Adams,Ryan Stark,Alyssa Smith,Toni Chen']",Medium
978,Emily Chavez,163,"['Michael Manning,Christopher Silva,Sandra Bates,Megan Davis,Timothy Klein']",Low
979,Richard Strong,107,"['David Mccann,Toni Mann,Ashley Prince']",Low
980,Antonio Peterson,175,"['Michelle Perez,Joshua Norris,Bobby Barnes,Matthew Lewis,Veronica Anderson,Alexander Davis,Stephanie Valentine']",High
981,Nathan Sanders,86,"['Samuel Martin,Jennifer Miller,William Wagner,Amber Hurley,Anne Armstrong']",Low
982,Taylor Weaver,140,"['Shannon Page,Vicki Salinas']",Low
983,Carol Hayes,99,"['Karen Johnson,John Wiley,Adriana Hernandez,Desiree Burnett,Frank Orozco']",Medium
984,Michael Shaw,108,"['Laura Berry,Natalie Johnson,Ashley Webb,Katelyn Smith,Donald Patterson,Angela Malone,Erika Douglas,Joshua Hall']",Low
985,Matthew Jones,13,"['Bruce Crosby,Adam Williams,Misty Smith,Mrs. Laura Jackson']",Low
986,Anthony Hamilton,35,"['Russell Long,Troy Lloyd,Anthony Duran,Yvonne Johnson,Dr. Thomas Castillo,Megan Singh,Misty Arnold,Daniel Oliver,Steven Lopez,Jeff Hoffman']",High
987,Matthew Hubbard,56,"['Kyle Murphy,Laura Weaver']",High
988,Dylan Mcmillan,65,"['Kristen Evans,Mr. Jose Hall,Derek Figueroa,Wendy Guerra']",High
989,Rebecca Chambers,137,"['Ryan Wilson,Elizabeth Davis,Dennis Davis,James Hernandez']",High
990,Thomas Everett,164,"['Michael Phelps,Sabrina Moore,Bradley Johnson,Rose Bates,Christine Rodriguez,Penny Levy,David Griffin MD,Tommy Harmon,Kristin Woods']",High
991,Jason Yoder,169,"['Jason Reed,Erica Mcbride,Gregory Warren']",Medium
992,Miranda Smith,114,"['Aaron Pittman,Laurie Roach,Jill Gibbs,Kevin Kim DDS,Jeffrey Collier,Ashley Kelley,Raymond Williams,Gabriella Reeves,Stephen Allen']",High
993,Jacqueline Hunt,137,"['Rachael Olson,Steven Simpson,Benjamin Ramirez,Ashley Hall,Kimberly Buchanan,Mary Ramirez']",High
994,Luke Hart,70,"['Matthew Henderson,Joseph Jimenez']",Low
995,Paul Sullivan,159,"['Cheryl Pruitt,Andrew Dean,Lori Taylor,Aaron Roberts,Christopher Frye,Jessica Mendez,Jonathan Estrada,Jason Lewis']",Medium
996,Ronald Santiago,146,"['Sandra Curry,Renee Morrow,Kim Rodriguez,Elizabeth Lewis']",High
997,Rebecca Nelson,133,"['Jeffrey Oconnell,Travis Murphy,Kelly Morrow,Gerald Smith,Raymond Smith,Miguel Krause,Charles Anderson,Tiffany Ross,Stephanie Bailey']",Low
998,Joan York,153,"['Christina Campbell,Erin Ray,Rachael Hanna']",High
999,Diana Smith,89,"['David Yates,Anna Wells,Ryan Colon,Richard Perez,Michael Shepard,Stephanie Holland,Tami Graves MD,Sherry Hunt,Marcus Brown,Roger Gilbert']",Medium
